filename,species,scientific_name,location,country,length,quality,date,id,url
xeno_audio/centropus_sinensis\359292_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Muang Pattaya, Amphoe Bang Lamung, Chang Wat Chon Buri",Thailand,0:11,B,2017-02-01,359292,https://xeno-canto.org/359292
xeno_audio/centropus_sinensis\318688_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Bang Phra reservoir, Chon Buri",Thailand,0:13,B,2016-05-22,318688,https://xeno-canto.org/318688
xeno_audio/centropus_sinensis\254651_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Koh Mun Nai, Amphoe Klaeng, Rayong Province",Thailand,0:29,B,2015-05-15,254651,https://xeno-canto.org/254651
xeno_audio/centropus_sinensis\173193_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Kaeng Krachan National Park, KM 7-12, Phetchaburi",Thailand,2:00,B,2014-04-05,173193,https://xeno-canto.org/173193
xeno_audio/centropus_sinensis\153229_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"Khao Nor Chu Chi, Krabi",Thailand,0:28,B,2012-12-17,153229,https://xeno-canto.org/153229
xeno_audio/centropus_sinensis\94081_Greater_Coucal_Thailand_B.wav,Greater Coucal,Centropus sinensis,"King Project, Phetchaburi",Thailand,0:44,B,2012-01-23,94081,https://xeno-canto.org/94081
xeno_audio/coracias_affinis\1004725_Indochinese_Roller_Thailand_A.wav,Indochinese Roller,Coracias affinis,"Phutthamonthon Park, Amphoe Phutthamonthon, Chang Wat Nakhon Pathom",Thailand,0:44,A,2025-06-07,1004725,https://xeno-canto.org/1004725
xeno_audio/coracias_affinis\1004475_Indochinese_Roller_Thailand_A.wav,Indochinese Roller,Coracias affinis,"Benchakitti Park (near  Bangkok), Khlong Toei, Krung Thep Maha Nakhon",Thailand,0:37,A,2025-06-06,1004475,https://xeno-canto.org/1004475
xeno_audio/coracias_affinis\963413_Indochinese_Roller_Thailand_A.wav,Indochinese Roller,Coracias affinis,"Phutthamonthon Park, Amphoe Phutthamonthon, Chang Wat Nakhon Pathom",Thailand,0:22,A,2025-01-17,963413,https://xeno-canto.org/963413
xeno_audio/coracias_affinis\962824_Indochinese_Roller_Thailand_A.wav,Indochinese Roller,Coracias affinis,"Phutthamonthon Park, Amphoe Phutthamonthon, Chang Wat Nakhon Pathom",Thailand,0:33,A,2025-01-14,962824,https://xeno-canto.org/962824
xeno_audio/coracias_affinis\962823_Indochinese_Roller_Thailand_A.wav,Indochinese Roller,Coracias affinis,"Phutthamonthon Park, Amphoe Phutthamonthon, Chang Wat Nakhon Pathom",Thailand,0:22,A,2025-01-14,962823,https://xeno-canto.org/962823
xeno_audio/coracias_affinis\962822_Indochinese_Roller_Thailand_A.wav,Indochinese Roller,Coracias affinis,"Phutthamonthon Park, Amphoe Phutthamonthon, Chang Wat Nakhon Pathom",Thailand,0:10,A,2025-01-14,962822,https://xeno-canto.org/962822
xeno_audio/coracias_affinis\962821_Indochinese_Roller_Thailand_A.wav,Indochinese Roller,Coracias affinis,"Phutthamonthon Park, Amphoe Phutthamonthon, Chang Wat Nakhon Pathom",Thailand,0:18,A,2025-01-14,962821,https://xeno-canto.org/962821
xeno_audio/coracias_affinis\842960_Indochinese_Roller_Thailand_A.wav,Indochinese Roller,Coracias affinis,"Huai Mae Phriang (near  Huai Mae Priang), Kaeng Krachan District, Phetchaburi",Thailand,0:42,A,2023-11-03,842960,https://xeno-canto.org/842960
xeno_audio/coracias_affinis\784927_Indochinese_Roller_Thailand_A.wav,Indochinese Roller,Coracias affinis,Benchakiti Park in Bangkok,Thailand,0:16,A,2023-02-03,784927,https://xeno-canto.org/784927
xeno_audio/coracias_affinis\777309_Indochinese_Roller_Thailand_A.wav,Indochinese Roller,Coracias affinis,Nai Yang Beach National Park,Thailand,0:17,A,2023-01-20,777309,https://xeno-canto.org/777309
xeno_audio/coracias_affinis\611617_Indochinese_Roller_Thailand_A.wav,Indochinese Roller,Coracias affinis,"Sabsadao Station, Thablan National Park",Thailand,0:17,A,2014-03-11,611617,https://xeno-canto.org/611617
xeno_audio/coracias_affinis\611616_Indochinese_Roller_Thailand_A.wav,Indochinese Roller,Coracias affinis,"Sabsadao Station, Thablan National Park",Thailand,0:47,A,2014-03-11,611616,https://xeno-canto.org/611616
xeno_audio/coracias_affinis\611151_Indochinese_Roller_Thailand_A.wav,Indochinese Roller,Coracias affinis,"Tambon Bang Phra, Amphoe Si Racha, Chang Wat Chon Buri",Thailand,0:46,A,2020-10-02,611151,https://xeno-canto.org/611151
xeno_audio/coracias_affinis\214459_Indochinese_Roller_Thailand_A.wav,Indochinese Roller,Coracias affinis,"Sapsadao, Thaplun, Nakorn Rachasima",Thailand,0:46,A,2015-02-21,214459,https://xeno-canto.org/214459
xeno_audio/coracias_affinis\955865_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Thung Kik, Mae Ping NP, Amphoe Li, Chang Wat Lamphun",Thailand,4:10,B,2024-11-20,955865,https://xeno-canto.org/955865
xeno_audio/coracias_affinis\953619_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Mae Ping NP, Rd 4040 KM10, Amphoe Li, Lamphun",Thailand,0:31,B,2024-11-19,953619,https://xeno-canto.org/953619
xeno_audio/coracias_affinis\950598_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Mae Kha Tuan, Sob Moei District, Mae Hong Son",Thailand,1:38,B,2024-11-16,950598,https://xeno-canto.org/950598
xeno_audio/coracias_affinis\950594_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Mae Kha Tuan, Sob Moei District, Mae Hong Son",Thailand,0:26,B,2024-11-16,950594,https://xeno-canto.org/950594
xeno_audio/coracias_affinis\950445_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Mae Kha Tuan, Sob Moei District, Mae Hong Son",Thailand,1:16,B,2024-11-15,950445,https://xeno-canto.org/950445
xeno_audio/coracias_affinis\950444_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Mae Kha Tuan, Sob Moei District, Mae Hong Son",Thailand,0:22,B,2024-11-15,950444,https://xeno-canto.org/950444
xeno_audio/coracias_affinis\940615_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Sala Ya (near  Salaya), Phutthamonthon District, Nakhon Pathom",Thailand,1:01,B,2024-10-15,940615,https://xeno-canto.org/940615
xeno_audio/coracias_affinis\909817_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Black-Headed Kingfisher Viewing Point - จุดชมนกกระเต็นหัวดำ (near  Bangkok), Chatuchak, Krung Thep Maha Nakhon",Thailand,0:15,B,2024-06-02,909817,https://xeno-canto.org/909817
xeno_audio/coracias_affinis\891620_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Kaeng Krachan National Park, KM 26-29, Phetchaburi",Thailand,0:17,B,2024-03-11,891620,https://xeno-canto.org/891620
xeno_audio/coracias_affinis\845767_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Ko Kret (near  Tambon Ko Kret), Amphoe Pak Kret, Chang Wat Nonthaburi",Thailand,1:20,B,2023-12-06,845767,https://xeno-canto.org/845767
xeno_audio/coracias_affinis\843078_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Benchakitti Park (near  Bangkok), Khlong Toei, Krung Thep Maha Nakhon",Thailand,0:48,B,2023-11-21,843078,https://xeno-canto.org/843078
xeno_audio/coracias_affinis\841790_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Queen Sirikit Park (near  Bangkok), Chatuchak, Bangkok",Thailand,0:23,B,2023-11-12,841790,https://xeno-canto.org/841790
xeno_audio/coracias_affinis\841784_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Queen Sirikit Park (near  Bangkok), Chatuchak, Bangkok",Thailand,0:17,B,2023-11-12,841784,https://xeno-canto.org/841784
xeno_audio/coracias_affinis\816819_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Kaeng Krachan National Park, Phetchaburi",Thailand,0:22,B,2023-07-01,816819,https://xeno-canto.org/816819
xeno_audio/coracias_affinis\711832_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Pa Klok, Thalang District, Phuket",Thailand,0:44,B,2022-03-29,711832,https://xeno-canto.org/711832
xeno_audio/coracias_affinis\711175_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Thai Mueang, Thai Mueang District, Phang-nga",Thailand,1:56,B,2022-03-27,711175,https://xeno-canto.org/711175
xeno_audio/coracias_affinis\701631_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Sai Yok, Sai Yok District, Kanchanaburi",Thailand,0:04,B,2022-02-06,701631,https://xeno-canto.org/701631
xeno_audio/coracias_affinis\636161_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Bang Kachao, Samut Prakan",Thailand,0:10,B,2020-03-13,636161,https://xeno-canto.org/636161
xeno_audio/coracias_affinis\316211_Indochinese_Roller_Thailand_B.wav,Indochinese Roller,Coracias affinis,"Huai Kha Khaeng Wildlife Sanctuary, Mae Poen District, Nakhon Sawan",Thailand,0:07,B,2015-12-02,316211,https://xeno-canto.org/316211
xeno_audio/geopelia_striata\1005545_Zebra_Dove_Thailand_A.wav,Zebra Dove,Geopelia striata,"Khok Kham, Mueang Samut Sakhon District, Samut Sakhon",Thailand,0:22,A,2025-06-10,1005545,https://xeno-canto.org/1005545
xeno_audio/geopelia_striata\1003565_Zebra_Dove_Thailand_A.wav,Zebra Dove,Geopelia striata,"Red Boardwalk Bridge (near  Tambon Phanthai Norasing), Mueang Samut Sakhon District, Samut Sakhon",Thailand,0:04,A,2025-06-01,1003565,https://xeno-canto.org/1003565
xeno_audio/geopelia_striata\981577_Zebra_Dove_Thailand_A.wav,Zebra Dove,Geopelia striata,"Pha Chang Park, Wiang Chai District, Chiang Rai",Thailand,0:15,A,2025-02-04,981577,https://xeno-canto.org/981577
xeno_audio/geopelia_striata\950422_Zebra_Dove_Thailand_A.wav,Zebra Dove,Geopelia striata,"Krathum Rai (near  Bangkok), Nong Chok, Krung Thep Maha Nakhon",Thailand,1:10,A,2024-08-04,950422,https://xeno-canto.org/950422
xeno_audio/geopelia_striata\871888_Zebra_Dove_Thailand_A.wav,Zebra Dove,Geopelia striata,"Wat Chalo (near  Tambon Bang Kruai), Amphoe Bang Kruai, Chang Wat Nonthaburi",Thailand,0:17,A,2024-02-09,871888,https://xeno-canto.org/871888
xeno_audio/geopelia_striata\784604_Zebra_Dove_Thailand_A.wav,Zebra Dove,Geopelia striata,"Petchaburi, Kaeng Krachan, Kum Nang Phaya Resort and environment",Thailand,0:16,A,2023-02-07,784604,https://xeno-canto.org/784604
xeno_audio/geopelia_striata\783712_Zebra_Dove_Thailand_A.wav,Zebra Dove,Geopelia striata,Cha-am Forest Park,Thailand,0:33,A,2023-02-05,783712,https://xeno-canto.org/783712
xeno_audio/geopelia_striata\616403_Zebra_Dove_Thailand_A.wav,Zebra Dove,Geopelia striata,"Tambon Lam Pho, Amphoe Bang Bua Thong, Chang Wat Nonthaburi",Thailand,0:11,A,2021-01-20,616403,https://xeno-canto.org/616403
xeno_audio/geopelia_striata\598171_Zebra_Dove_Thailand_A.wav,Zebra Dove,Geopelia striata,"Lampang, Mueang Lampang District, Lampang",Thailand,0:33,A,2020-07-09,598171,https://xeno-canto.org/598171
xeno_audio/geopelia_striata\973067_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Huay Chorakhe Mak NHA, Tambon Sakae Phrong, Amphoe Mueang Buri Ram, Chang Wat Buri Ram",Thailand,0:34,B,2025-02-12,973067,https://xeno-canto.org/973067
xeno_audio/geopelia_striata\936889_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"eBird hotspot: Bang Khaem Fish Ponds, Nakhon Pathom",Thailand,0:21,B,2024-09-30,936889,https://xeno-canto.org/936889
xeno_audio/geopelia_striata\936403_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"eBird hotspot: Bang Khaem Fish Ponds, Nakhon Pathom",Thailand,1:42,B,2024-09-28,936403,https://xeno-canto.org/936403
xeno_audio/geopelia_striata\844118_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Suthep (near  Chiang Mai), Mueang Chiang Mai District, Chiang Mai",Thailand,0:23,B,2023-11-11,844118,https://xeno-canto.org/844118
xeno_audio/geopelia_striata\797139_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Pha Chang Park, Wiang Chai District, Chiang Rai",Thailand,1:02,B,2023-04-29,797139,https://xeno-canto.org/797139
xeno_audio/geopelia_striata\788244_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,Benchakiti Park in Bangkok,Thailand,0:15,B,2023-02-03,788244,https://xeno-canto.org/788244
xeno_audio/geopelia_striata\779114_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,Nai Yang Beach National Park,Thailand,0:15,B,2023-01-22,779114,https://xeno-canto.org/779114
xeno_audio/geopelia_striata\589824_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Thai Samakkhi Village, Amphoe Wang Nam Khiao, Chang Wat Nakhon Ratchasima",Thailand,0:52,B,2020-08-09,589824,https://xeno-canto.org/589824
xeno_audio/geopelia_striata\559916_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Tambon Bang Kacha, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi",Thailand,0:33,B,2019-08-19,559916,https://xeno-canto.org/559916
xeno_audio/geopelia_striata\559644_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Huai Khun Chit Reservoir, ChonBuri",Thailand,0:35,B,2020-05-19,559644,https://xeno-canto.org/559644
xeno_audio/geopelia_striata\461650_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"ตำบล บางม่วง, อำเภอ ตะกั่วป่า, พังงา",Thailand,0:09,B,2019-02-14,461650,https://xeno-canto.org/461650
xeno_audio/geopelia_striata\447638_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Tambon Mae Win, อำเภอ แม่วาง, Chang Wat Chiang Mai",Thailand,0:40,B,2018-11-18,447638,https://xeno-canto.org/447638
xeno_audio/geopelia_striata\434900_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Bangkok, Krung Thep Maha Nakhon",Thailand,2:44,B,2018-09-20,434900,https://xeno-canto.org/434900
xeno_audio/geopelia_striata\397190_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Tambon Sai Ma, Amphoe Mueang Nonthaburi, Chang Wat Nonthaburi",Thailand,0:45,B,2017-12-28,397190,https://xeno-canto.org/397190
xeno_audio/geopelia_striata\382147_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Lampang, Mueang Lampang District, Lampang",Thailand,0:09,B,2017-08-06,382147,https://xeno-canto.org/382147
xeno_audio/geopelia_striata\364380_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Pun-Pun Organic Farm, Amphoe Mae Taeng, Chang Wat Chiang Mai",Thailand,0:04,B,2016-01-19,364380,https://xeno-canto.org/364380
xeno_audio/geopelia_striata\360136_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Tambon Mueang Kao, Amphoe Mueang Sukhothai, Chang Wat Sukhothai",Thailand,0:21,B,2017-01-27,360136,https://xeno-canto.org/360136
xeno_audio/geopelia_striata\348091_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Tambon Khao Khram, Amphoe Mueang Krabi, Chang Wat Krabi",Thailand,0:21,B,2008-12-22,348091,https://xeno-canto.org/348091
xeno_audio/geopelia_striata\94364_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Laem Phak Bia, mangrove boat launch, Phetchaburi",Thailand,0:06,B,2012-01-23,94364,https://xeno-canto.org/94364
xeno_audio/geopelia_striata\94363_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Pakarung Guest House, Muang Phetchaburi",Thailand,0:18,B,2012-01-23,94363,https://xeno-canto.org/94363
xeno_audio/geopelia_striata\94362_Zebra_Dove_Thailand_B.wav,Zebra Dove,Geopelia striata,"Pakarung Guest House, Muang Phetchaburi",Thailand,0:15,B,2012-01-23,94362,https://xeno-canto.org/94362
xeno_audio/amaurornis_phoenicurus\1006537_White-breasted_Waterhen_Thailand_A.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Suwintawong 47 Alley overgrown woods & marshes, Nong Chok, Krung Thep Maha Nakhon",Thailand,0:07,A,2025-06-14,1006537,https://xeno-canto.org/1006537
xeno_audio/amaurornis_phoenicurus\1003536_White-breasted_Waterhen_Thailand_A.wav,White-breasted Waterhen,Amaurornis phoenicurus,eBird hotspot: Benjakiti Park,Thailand,0:25,A,2025-06-03,1003536,https://xeno-canto.org/1003536
xeno_audio/amaurornis_phoenicurus\946362_White-breasted_Waterhen_Thailand_A.wav,White-breasted Waterhen,Amaurornis phoenicurus,"eBird hotspot: Bang Khaem Fish Ponds, Nakhon Pathom",Thailand,0:20,A,2024-11-06,946362,https://xeno-canto.org/946362
xeno_audio/amaurornis_phoenicurus\844113_White-breasted_Waterhen_Thailand_A.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Tambon Tha Ton, Amphoe Mae Ai, Chang Wat Chiang Mai",Thailand,1:44,A,2023-11-08,844113,https://xeno-canto.org/844113
xeno_audio/amaurornis_phoenicurus\843764_White-breasted_Waterhen_Thailand_A.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Talat Khwan (near  Nonthaburi), Mueang Nonthaburi District, Nonthaburi",Thailand,1:03,A,2023-11-26,843764,https://xeno-canto.org/843764
xeno_audio/amaurornis_phoenicurus\842519_White-breasted_Waterhen_Thailand_A.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Talat Khwan (near  Nonthaburi), Mueang Nonthaburi District, Nonthaburi",Thailand,1:24,A,2023-11-17,842519,https://xeno-canto.org/842519
xeno_audio/amaurornis_phoenicurus\788134_White-breasted_Waterhen_Thailand_A.wav,White-breasted Waterhen,Amaurornis phoenicurus,Cha-am Forest Park,Thailand,0:11,A,2023-02-05,788134,https://xeno-canto.org/788134
xeno_audio/amaurornis_phoenicurus\783708_White-breasted_Waterhen_Thailand_A.wav,White-breasted Waterhen,Amaurornis phoenicurus,"eBird hotspot: Baan Maka Nature Lodge, Kaeng Krachan",Thailand,0:26,A,2023-02-11,783708,https://xeno-canto.org/783708
xeno_audio/amaurornis_phoenicurus\462432_White-breasted_Waterhen_Thailand_A.wav,White-breasted Waterhen,Amaurornis phoenicurus,Lat Krabang,Thailand,0:45,A,2019-03-21,462432,https://xeno-canto.org/462432
xeno_audio/amaurornis_phoenicurus\447294_White-breasted_Waterhen_Thailand_A.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Tambon Mae Win, อำเภอ แม่วาง, Chang Wat Chiang Mai",Thailand,0:25,A,2018-11-18,447294,https://xeno-canto.org/447294
xeno_audio/amaurornis_phoenicurus\447292_White-breasted_Waterhen_Thailand_A.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Tambon Mae Win, อำเภอ แม่วาง, Chang Wat Chiang Mai",Thailand,1:07,A,2018-11-18,447292,https://xeno-canto.org/447292
xeno_audio/amaurornis_phoenicurus\1006536_White-breasted_Waterhen_Thailand_B.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Suwintawong 47 Alley overgrown woods & marshes, Nong Chok, Krung Thep Maha Nakhon",Thailand,0:05,B,2025-06-14,1006536,https://xeno-canto.org/1006536
xeno_audio/amaurornis_phoenicurus\917478_White-breasted_Waterhen_Thailand_B.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Prawet (near  Bangkok), Prawet, Krung Thep Maha Nakhon",Thailand,0:27,B,2024-06-29,917478,https://xeno-canto.org/917478
xeno_audio/amaurornis_phoenicurus\902615_White-breasted_Waterhen_Thailand_B.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Pha Chang Park, Wiang Chai District, Chiang Rai",Thailand,1:10,B,2024-04-18,902615,https://xeno-canto.org/902615
xeno_audio/amaurornis_phoenicurus\871075_White-breasted_Waterhen_Thailand_B.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Benchakitti Park (near  Bangkok), Khlong Toei, Krung Thep Maha Nakhon",Thailand,0:24,B,2024-02-04,871075,https://xeno-canto.org/871075
xeno_audio/amaurornis_phoenicurus\855538_White-breasted_Waterhen_Thailand_B.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Benchakitti Park (near  Bangkok), Khlong Toei, Krung Thep Maha Nakhon",Thailand,1:03,B,2023-12-15,855538,https://xeno-canto.org/855538
xeno_audio/amaurornis_phoenicurus\845311_White-breasted_Waterhen_Thailand_B.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Ko Kret (near  Tambon Ko Kret), Amphoe Pak Kret, Chang Wat Nonthaburi",Thailand,0:12,B,2023-12-04,845311,https://xeno-canto.org/845311
xeno_audio/amaurornis_phoenicurus\707552_White-breasted_Waterhen_Thailand_B.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Bang Kachao, Samut Prakan",Thailand,0:12,B,2019-05-16,707552,https://xeno-canto.org/707552
xeno_audio/amaurornis_phoenicurus\707551_White-breasted_Waterhen_Thailand_B.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Bang Kachao, Samut Prakan",Thailand,0:31,B,2016-07-19,707551,https://xeno-canto.org/707551
xeno_audio/amaurornis_phoenicurus\607927_White-breasted_Waterhen_Thailand_B.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Thai Samakkhi Village, Amphoe Wang Nam Khiao, Chang Wat Nakhon Ratchasima",Thailand,1:10,B,2020-10-05,607927,https://xeno-canto.org/607927
xeno_audio/amaurornis_phoenicurus\606495_White-breasted_Waterhen_Thailand_B.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Tambon Bang Kacha, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi",Thailand,0:33,B,2019-08-19,606495,https://xeno-canto.org/606495
xeno_audio/amaurornis_phoenicurus\606430_White-breasted_Waterhen_Thailand_B.wav,White-breasted Waterhen,Amaurornis phoenicurus,"Tambon Ko Khwang, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi",Thailand,0:06,B,2019-08-21,606430,https://xeno-canto.org/606430
xeno_audio/amaurornis_phoenicurus\605227_White-breasted_Waterhen_Thailand_B.wav,White-breasted Waterhen,Amaurornis phoenicurus,"eBird hotspot: Baan Maka Nature Lodge, Kaeng Krachan",Thailand,0:22,B,2014-03-15,605227,https://xeno-canto.org/605227
xeno_audio/amaurornis_phoenicurus\605226_White-breasted_Waterhen_Thailand_B.wav,White-breasted Waterhen,Amaurornis phoenicurus,"eBird hotspot: Baan Maka Nature Lodge, Kaeng Krachan",Thailand,0:31,B,2014-03-15,605226,https://xeno-canto.org/605226
